"default_profile","default_profile_image","tweets_like_by_user","followers_count","geo_enabled","verified","account_age_days","account_type","has_description","has_lang","has_background_image_url"
"FALSE","FALSE",13644,792,"TRUE","FALSE",2566,"human","FALSE","FALSE","TRUE"
"FALSE","FALSE",7386,306,"TRUE","FALSE",4043,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",601,27613,"FALSE","TRUE",3846,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",3489,71,"FALSE","FALSE",2185,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",1951,6,"FALSE","FALSE",2953,"bot","FALSE","FALSE","TRUE"
"TRUE","FALSE",666,28,"FALSE","FALSE",2961,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",1876,43,"FALSE","FALSE",2595,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",2314,49,"TRUE","FALSE",3491,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",428,173010,"TRUE","TRUE",2912,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",17019,96,"FALSE","FALSE",2553,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",799,16,"FALSE","FALSE",4415,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",46919,271,"FALSE","FALSE",2944,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",46961,310,"TRUE","FALSE",1859,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",14392,210561,"TRUE","TRUE",4208,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",29970,1835,"TRUE","FALSE",3909,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",322,121,"TRUE","FALSE",3938,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",2175,6154982,"TRUE","TRUE",4029,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",2006,31,"FALSE","FALSE",4145,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",9677,24,"FALSE","FALSE",1122,"human","FALSE","FALSE","FALSE"
"TRUE","TRUE",34,0,"FALSE","FALSE",3425,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",62208,1672,"TRUE","FALSE",3465,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",49,31,"TRUE","FALSE",1667,"human","TRUE","TRUE","FALSE"
"TRUE","FALSE",28461,512,"TRUE","FALSE",2393,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1105,57038,"FALSE","TRUE",2250,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",37745,96,"FALSE","FALSE",2538,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",3146,1032551,"TRUE","FALSE",4083,"human","FALSE","FALSE","TRUE"
"TRUE","FALSE",1053,40,"FALSE","FALSE",1200,"bot","TRUE","TRUE","FALSE"
"FALSE","FALSE",20442,1630092,"TRUE","TRUE",4205,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",19,272796,"FALSE","FALSE",4202,"bot","TRUE","TRUE","TRUE"
"TRUE","TRUE",1125,18,"FALSE","FALSE",2557,"human","FALSE","FALSE","TRUE"
"FALSE","FALSE",7531,384,"TRUE","FALSE",2909,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1418,29739,"TRUE","FALSE",3549,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",2784,1318800,"TRUE","TRUE",4267,"human","FALSE","FALSE","TRUE"
"FALSE","FALSE",179,48,"FALSE","FALSE",4152,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",179,3508,"FALSE","TRUE",2838,"human","FALSE","FALSE","TRUE"
"TRUE","FALSE",27066,620,"TRUE","FALSE",1977,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1651,1599,"FALSE","FALSE",3239,"human","TRUE","TRUE","TRUE"
"TRUE","TRUE",10,1,"FALSE","FALSE",3552,"human","FALSE","FALSE","TRUE"
"TRUE","FALSE",2196,143,"TRUE","FALSE",2910,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",6327,18136,"TRUE","TRUE",3125,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",2472,3,"FALSE","FALSE",4115,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",4901,1595,"TRUE","TRUE",2535,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1149,20126,"TRUE","TRUE",3925,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",6986,2605,"TRUE","TRUE",4135,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",1353,426,"TRUE","FALSE",2800,"human","FALSE","FALSE","TRUE"
"TRUE","FALSE",20,79,"FALSE","FALSE",4107,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",990,20,"FALSE","FALSE",4137,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",547,13,"FALSE","FALSE",3204,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",94,606,"TRUE","FALSE",4174,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",1883,74,"FALSE","FALSE",722,"human","FALSE","FALSE","FALSE"
"FALSE","FALSE",3061,279,"TRUE","FALSE",4175,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1862,221,"FALSE","FALSE",4085,"human","FALSE","FALSE","TRUE"
"TRUE","FALSE",129,8,"FALSE","FALSE",3672,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",112640,3652,"TRUE","TRUE",4256,"human","TRUE","TRUE","TRUE"
